Authors,Title,Publication,Volume,Number,Pages,Year,Publisher
"Lakshmi, Thangavelu; Renukadevi, Balusamy Sri; Senthilkumar, Sivanesan; Haribalan, Perumalsamy; Parameshwari, R; Vijayaraghavan, Rajagopalan; Rajeshkumar, Shanmugam; ","Seed and bark extracts of Acacia catechu protects liver from acetaminophen induced hepatotoxicity by modulating oxidative stress, antioxidant enzymes and liver function enzymes in Wistar rat model",Biomedicine & pharmacotherapy,108,,838-844,2018,Elsevier Masson
"Balusamy, Sri Renukadevi; Perumalsamy, Haribalan; Veerappan, Karpagam; Huq, Md Amdadul; Rajeshkumar, S; Lakshmi, T; Kim, Yeon Ju; ",Research Article Citral Induced Apoptosis through Modulation of Key Genes Involved in Fatty Acid Biosynthesis in Human Prostate Cancer Cells: In Silico and In Vitro Study,,,,,2020,
"Hong, Tae‐kyun; Lee, Seung‐hwan; Shin, Jeong‐seop; Jang, Kyoung‐hwa; Na, Eun‐shik; Park, Chol‐soo; Kim, Chung‐hwan; Kim, Jun‐Ran; Balusamy, Sri Renukadevi; Perumalsamy, Haribalan; ",Toxicological and molecular adverse effect of Illicium verum fruit constituents toward Bradysia procera,Pest Management Science,79,3,1131-1139,2023,"John Wiley & Sons, Ltd. Chichester, UK"
"Arumugam, Poornima; Ramesh, Vignesh; Sampathkumar, Banupriya; Perumalsamy, Haribalan; Balusamy, Sri Renukadevi; Suganya, Kanagaraj; Balraj, Sudha; Nachimuthu, S Kumar; Sundaravadivelu, Sumathi; ",Integrative transcriptome analysis of triple negative breast cancer profiles for identification of druggable targets,Journal of Biomolecular Structure and Dynamics,41,21,12106-12119,2023,Taylor & Francis
"Gerelkhuu, Zayakhuu; Perumalsamy, Haribalan; Maddahfar, Mahnaz; Jin, Dayong; Song, Jaewoo; Yoon, Tae Hyun; ",A single-cell based mass cytometry study on heterogeneous interactions between upconversion nanoparticles and human immune cells,Environmental Science: Nano,10,3,824-833,2023,Royal Society of Chemistry
"Balusamy, Sri Renukadevi; Perumalsamy, Haribalan; Huq, Md Amdadul; Yoon, Tae Hyun; Mijakovic, Ivan; Thangavelu, Lakshmi; Yang, Deok Chun; Rahimi, Shadi; ","A comprehensive and systemic review of ginseng‐based nanomaterials: Synthesis, targeted delivery, and biomedical applications",Medicinal Research Reviews,43,5,1374-1410,2023,
"Somasundaram, Sivaraman; Balusamy, Sri Renukadevi; Perumalsamy, Haribalan; Ranjan, Anuj; Abbas, Qamar; Irfan, Navabshan; Shanmugam, Rajeshkumar; Park, Sanghyuk; ","Structural modifications and biomedical applications of π-extended, π-fused, and non-fused tetra-substituted imidazole derivatives",Arabian Journal of Chemistry,16,9,105030,2023,Elsevier
"Wang, Xue; Sankarapandian, Karuppasamy; Cheng, Yizhe; Woo, Soon Ok; Kwon, Hyung Wook; Perumalsamy, Haribalan; Ahn, Young-Joon; ",Relationship between total phenolic,,,,,2016,
"Tran, Thi Hoa My; Lee, Sanghyun; Huh, Jeong-Eun; Perumalsamy, Haribalan; Balusamy, Sri Renukadevi; Kim, Yeon-Ju; ",Fermentation of Moringa oleifera Lam. using Bifidobacterium animalis subsp. lactis enhances the anti-inflammatory effect in RAW 264.7 macrophages,Journal of Functional Foods,109,,105752,2023,Elsevier
"Balusamy, Sri Renukadevi; Joshi, Abhayraj S; Perumalsamy, Haribalan; Mijakovic, Ivan; Singh, Priyanka; ",Advancing sustainable agriculture: a critical review of smart and eco-friendly nanomaterial applications,Journal of Nanobiotechnology,21,1,372,2023,BioMed Central London
"Wang ZhangQian, Wang ZhangQian; Perumalsamy, H; Wang Xue, Wang Xue; Ahn YoungJoon, Ahn YoungJoon; ",Toxicity and possible mechanisms of action of honokiol from Magnolia denudata seeds against four mosquito species.,,,,,2019,
"Kim JunRan, Kim JunRan; Perumalsamy, H; Kwon MinJung, Kwon MinJung; Chae SeUm, Chae SeUm; Ahn YoungJoon, Ahn YoungJoon; ",Toxicity of hiba oil constituents and spray formulations to American house dust mites and copra mites.,,,,,2015,
"Chae SongHwa, Chae SongHwa; Kim SoonIl, Kim SoonIl; Yeon SeongHum, Yeon SeongHum; Perumalsamy, H; Ahn YoungJoon, Ahn YoungJoon; ",Fumigant toxicity of summer savory and lemon balm oil constituents and efficacy of spray formulations containing the oils to B-and neonicotinoid-resistant Q-biotypes of Bemisia tabaci (Homoptera: Aleyrodidae).,,,,,2014,
"Wang ZhangQian, Wang ZhangQian; Perumalsamy, H; Wang Mo, Wang Mo; Shu ShaoHua, Shu ShaoHua; Ahn YoungJoon, Ahn YoungJoon; ",Larvicidal activity of Magnolia denudata seed hydrodistillate constituents and related compounds and liquid formulations towards two susceptible and two wild mosquito species.,,,,,2016,
"Hong TaeKyun, Hong TaeKyun; Perumalsamy, H; Jang KyoungHwa, Jang KyoungHwa; Na EunShik, Na EunShik; Ahn YoungJoon, Ahn YoungJoon; ",Ovicidal and larvicidal activity and possible mode of action of phenylpropanoids and ketone identified in Syzygium aromaticum bud against Bradysia procera.,,,,,2018,
"Kim JunRan, Kim JunRan; Perumalsamy, H; Lee JuHee, Lee JuHee; Ahn YoungJoon, Ahn YoungJoon; Lee YoungSu, Lee YoungSu; Lee SangGuie, Lee SangGuie; ",Acaricidal activity of Asarum heterotropoides root-derived compounds and hydrodistillate constitutes toward Dermanyssus gallinae (Mesostigmata: Dermanyssidae).,,,,,2016,
"Kim JunRan, Kim JunRan; Perumalsamy, H; Shin HeMin, Shin HeMin; Lee SangGuei, Lee SangGuei; Ahn YoungJoon, Ahn YoungJoon; ",Toxicity of Juniperus oxycedrus oil constituents and related compounds and the efficacy of oil spray formulations to Dermatophagoides farinae (Acari: Pyroglyphidae).,,,,,2017,
"Jung JeWon, Jung JeWon; Baeck SeungJae, Baeck SeungJae; Perumalsamy, H; Hansson, BS; Ahn YoungJoon, Ahn YoungJoon; Kwon HyungWook, Kwon HyungWook; ",A novel olfactory pathway is essential for fast and efficient blood-feeding in mosquitoes.,,,,,2015,
"Perumalsamy, Haribalan; Balusamy, Sri Renukadevi; Sukweenadhi, Johan; Nag, Sagnik; MubarakAli, Davoodbasha; El-Agamy Farh, Mohamed; Vijay, Hari; Rahimi, Shadi; ","A comprehensive review on Moringa oleifera nanoparticles: importance of polyphenols in nanoparticle synthesis, nanoparticle efficacy and their applications",Journal of nanobiotechnology,22,1,71,2024,BioMed Central London
"Perumalsamy, Haribalan; Xiao, Xiao; Kim, Hyun-Yi; Yoon, Tae-Hyun; ",scRNA-seq analysis discovered suppression of immunomodulatory dependent inflammatory response in PMBCs exposed to silver nanoparticles,Journal of Nanobiotechnology,22,1,118,2024,BioMed Central London
"Perumalsamy, Haribalan; Xiao, Xiao; Han, Hyoung-Yun; Oh, Jung-Hwa; Yoon, Seokjoo; Heo, Min Beom; Lee, Tae Geol; Kim, Hyun-Yi; Yoon, Tae Hyun; ",Deciphering the Immunotoxicity of Titanium Dioxide Nanoparticles (E171) in Mouse Leukocytes through Single-Cell RNA Sequencing,,,,,2024,
"Perumalsamy, Haribalan; Rahimi, Shadi; Gokulanathan, Anandapadmanaban; Jyothiraditya, Vuluchala; Dhandapani, Sanjeevram; Almoajel, Alia; Subramanian, Sivakumar Allur; Elsadek, Mohamed Farouk; Balusamy, Sri Renukadevi; ","Cohesive transcriptomic and in vitro approach revealed genes involved in inhibition of G0/G1, G2 phase of cell cycle pathway of stomach cancer cells by geraniol treatment",,,,,2024,
"Dhandapani, Sanjeevram; Samad, Abdus; Liu, Ying; Wang, Rongbo; Balusamy, Sri Renukadevi; Perumalsamy, Haribalan; Kim, Yeon-Ju; ",Coprisin/compound K conjugated gold nanoparticles induced cell death through apoptosis and ferroptosis pathway in adenocarcinoma gastric cells,ACS omega,9,24,25932-25944,2024,American Chemical Society
"Dhandapani, Sanjeevram; Choi, Han-Sol; Chung, Hoyong; Perumalsamy, Haribalan; Wang, Rongbo; Balusamy, Sri Renukadevi; Natarajan, Sathishkumar; Park, Junhyung; Kim, Yeon-Ju; ",Lysine-rich polypeptide modulates forkhead box o3 and phosphoinositide 3-kinase-protein kinase B pathway to induce apoptosis in breast cancer,ACS Pharmacology & Translational Science,7,6,1884-1900,2024,American Chemical Society
"Park, Sehee; Perumalsamy, Haribalan; Gerelkhuu, Zayakhuu; Sunderraj, Sneha; Lee, Yangsoon; Yoon, Tae Hyun; ",Phenotypic landscape of immune cells in sepsis: insights from high-dimensional mass cytometry,ACS Infectious Diseases,10,7,2390-2402,2024,American Chemical Society
"Park, Sehee; Perumalsamy, Haribalan; Kim, Ji Eun; Kim, Hye Young; Jun, Dae Won; Yoon, Tae Hyun; ","The impact of G-CSF on mouse immune cells in alcoholic liver disease, focusing on variations in T cells and their subsets",Biomedicine & Pharmacotherapy,178,,117175,2024,Elsevier Masson
"Rahimi, Shadi; Balusamy, Sri Renukadevi; Perumalsamy, Haribalan; Ståhlberg, Anders; Mijakovic, Ivan; ",CRISPR-Cas target recognition for sensing viral and cancer biomarkers,Nucleic acids research,52,17,10040-10067,2024,Oxford University Press
"Pradeep Prabhu, Pavithra; Mohanty, Barsha; Lobo, Cynthia Lizzie; Balusamy, Sri Renukadevi; Shetty, Amitha; Perumalsamy, Haribalan; Mahadev, Manohar; Mijakovic, Ivan; Dubey, Akhilesh; Singh, Priyanka; ","Harnessing the nutriceutics in early-stage breast cancer: mechanisms, combinational therapy, and drug delivery",Journal of nanobiotechnology,22,1,574,2024,BioMed Central London
"Perumalsamy, Haribalan; Xiao, Xiao; Han, Hyoung-Yun; Oh, Jung-Hwa; Yoon, Seokjoo; Heo, Min Beom; Lee, Tae Geol; Kim, Hyun-Yi; Yoon, Tae-Hyun; ",Single-cell RNA sequencing uncovers heterogenous immune cell responses upon exposure to food additive (E171) titanium dioxide,Journal of Nanobiotechnology,22,1,765,2024,BioMed Central London
"Perumalsamy, Haribalan; Sukweenadhi, Johan; Ranjan, Anuj; Dubey, Akhilesh; Mahadev, Manohar; Elsadek, Mohamed Farouk; Almutairi, Saeedah Musaed; Sohn, Daewon; Balusamy, Sri Renukadevi; ",Structural isomers of carene persuade apoptotic cell death by inhibiting cell cycle in breast cancer cells: An in silico and in vitro approach,Tissue and Cell,93,,102701,2025,Churchill Livingstone
"Balusamy, Sri Renukadevi; Balamurugan, Mani; Purushothaman, Sumitha; Somasundaram, Sivaraman; Elsadek, Mohamed Farouk; Sohn, Daewon; Almutairi, Saeedah Musaed; Mijakovic, Ivan; Rahimi, Shadi; Perumalsamy, Haribalan; ",Apoptotic cell death of stomach cancer lines (AGS) induced by Co-NTB complex through cellular organelles and DNA damage,RSC advances,15,2,739-747,2025,Royal Society of Chemistry
"HARIBALAN, PERUMALSAMY; ",A study on peripheral blood mononuclear cell and upconversion nanoparticles by single-cell mass cytometry,Nano Korea 2022: International Nanotech Symposium & Exhibition,,,,2022,
"HARIBALAN, PERUMALSAMY; ",Transcriptomic profiling of heterogeneous immune cells from rat peripheral blood mononuclear cells exposed to titanium dioxide nanoparticles,Nano Korea 2022: International Nanotech Symposium & Exhibition,,,,2022,
"HARIBALAN, PERUMALSAMY; ",A new collaborative data analysis platform for nanomedicine: exosome. ai,Nano Korea 2023: International Nanotech Symposium & Exhibition,,,,2023,
"HARIBALAN, PERUMALSAMY; ",Cellular Association and Toxicity Assessment of Zinc Oxide Nanoparticles on Human Lung Normal and Cancerous Cells,Nano Korea 2023: International Nanotech Symposium & Exhibition,,,,2023,
"Karuppieh, Santhiya; Balusamy, Sri Renukadevi; Sundaravadivelu, Sumathi; Thangavelu, Lakshmi; Perumalsamy, Haribalan; ",Advanced Drug Delivery Systems Targeting 16,Advanced Drug Delivery Strategies for Targeting Chronic Inflammatory Lung Diseases,,,333,2022,Springer Nature
"Manohar, Mahadev; Shetty, Amitha; Lobo, Cynthia Lizzie; Jain, Praneetha; Hebbar, Srinivas; Dhas, Namdev; Sutar, Kishori P; Sukeewandhi, Johan; Perumalsamy, Haribalan; Balusamy, Sri Renukadevi; ",Emerging trends in chitosan based colloidal drug delivery systems: A translational journey from research to practice,Carbohydrate Polymers,360,,123604,2025,Elsevier
"Rajkumar, Sripriya; Jung, Ji-Hye; Kim, Ji-Young; Karapurkar, Janardhan Keshav; Birappa, Girish; Gowda, DA Ayush; Ajaykumar, C Bindu; Perumalsamy, Haribalan; Suresh, Bharathi; Kim, Kye-Seong; ",Loss of ubiquitin-specific protease 11 mitigates pulmonary fibrosis in human pluripotent stem cell-derived alveolar organoids,International journal of stem cells,18,2,205-213,2025,Korean Society for Stem Cell Research
"Balusamy, Sri Renukadevi; Vijayalakshmi, Selvakumar; Sundaravadivelu, Sumathi; Huq, Md Amdadul; Nag, Sagnik; Mohanto, Sourav; Sukweenadhi, Johan; Oh, Deong Hwan; Perumalsamy, Haribalan; ",Nutraceuticals enhanced by nanotechnology: a new frontier for obesity treatment,Process Biochemistry,156,,217-235,2025,Elsevier
"Balusamy, Sri Renukadevi; Samad, Abdus; Singh, Priyanka; Sunderraj, Sneha; Elsadek, Mohamed Farouk; Altwaijry, Nojood; Sukweenadhi, Johan; Perumalsamy, Haribalan; ",Comparative anti-cancer properties of carene isoforms induced apoptotic cell death in stomach and lung cancer cell lines,Naunyn-Schmiedeberg's Archives of Pharmacology,399,1,329-348,2026,Springer Berlin Heidelberg Berlin/Heidelberg
"Balusamy, Sri Renukadevi; Balamurugan, Mani; Nag, Sagnik; Mohanto, Sourav; Elsadek, Mohamed Farouk; Altwaijry, Nojood; Sohn, Daewon; Mijakovic, Ivan; Singh, Priyanka; Perumalsamy, Haribalan; ",Anti‐Cancer Potential of Copper‐NTB Complex via Damaging Cellular Organelles and Apoptosis in Triple‐Negative Breast Cancer Therapy,Nano Select,6,12,e70049,2025,
"Balusamy, Sri Renukadevi; Rahimi, Shadi; Tkachova, Olena; Lee, Seungah; Ramakrishna, Suresh; Mijakovic, Ivan; Perumalsamy, Haribalan; ",One stone two birds: conjugation of graphene oxide with Rg3–doxorubicin reduces its toxicity and downregulates metallothionein expression for improved liver-targeted therapy,Cancer Nanotechnology,16,1,43,2025,Springer Vienna Vienna
"Perumalsamy, Haribalan; Park, Sehee; Kim, Ji Eun; Xiao, Xiao; Kim, Hye Young; Jun, Dae Won; Yoon, Tae‐Hyun; ",Discovering Heterogeneous Leukocytes Subsets Associated With Alcoholic Steatohepatitis by scRNAseq Analysis,MedComm,6,11,e70448,2025,
"Birappa, Girish; Perumalsamy, Haribalan; Hong, Seok-Ho; Gowda, DA Ayush; Chandrasekaran, Arun Pandian; Karapurkar, Janardhan Keshav; Rajkumar, Sripriya; Balusamy, Sri Renukadevi; Jayachandran, Aparna; Baek, Kwang-Hyun; ",Single-cell RNA sequence analysis reveals USP32 as a therapeutic target to mitigate PD-L1-driven colorectal tumorigenesis in vitro and in vivo,Theranostics,16,2,986,2026,
"Wang, R; Xu, X; Puja, AM; Perumalsamy, H; Balusamy, SR; Kim, H; Kim, YJ; ","Gold Nanoparticles Prepared with Phyllanthus emblica Fruit Extract and Bifidobacterium animalis subsp. lactis Can Induce Apoptosis via Mitochondrial Impairment with Inhibition of Autophagy in the Human Gastric Carcinoma Cell Line AGS. Nanomaterials 2021, 11, 1260",,,,,2021,s Note: MDPI stays neutral with regard to jurisdictional claims in published …
"Balusamy, Sri Renukadevi; Lee, Seungah; Anandapadmanaban, Gokulanathan; Samad, Abdus; Shikder, Md Ripon; Veeramani, Chinnadurai; Alsaif, Mohammed A; Al-Numair, Khalid S; Singh, Priyanka; Perumalsamy, Haribalan; ",Antibacterial activity of bioactive anthraquinones isolated from Cassia tora L. against pathogenic intestinal microorganisms,Naunyn-Schmiedeberg's Archives of Pharmacology,,,1-15,2026,Springer Berlin Heidelberg Berlin/Heidelberg
"Prabhu, Mahananda R; Upadhya, Dinesh; Madhyastha, Harishkumar; Naha, Anup; Perumalsamy, Haribalan; Sunderraj, Sneha; Dubey, Akhilesh; Rahimi, Shadi; Balusamy, Sri Renukadevi; Hebbar, Srinivas; ","Exploiting the role of milk extracellular vesicles: a comprehensive analysis on isolation methods, characterization, surface modifications, and their therapeutic applications",Journal of Nanobiotechnology,,,,2026,BioMed Central London
"Ajaykumar, CB; Gowda, DA Ayush; Birappa, G; Rajkumar, S; Sarodaya, N; Colaco, JC; Singh, V; Ko, N; Perumalsamy, H; Jayachandran, A; ",Ubiquitin-Specific Protease 43 Promotes Degradation of Phenylalanine Hydroxylase in Mammalian Cells,Molecular Biology,59,Suppl 1,S145-S156,2025,Pleiades Publishing Moscow
