Authors,Title,Publication,Volume,Number,Pages,Year,Publisher
"Perumalsamy, Haribalan; Jung, Moon Young; Hong, Seung Min; Ahn, Young-Joon; ",Growth-Inhibiting and morphostructural effects of constituents identified in Asarum heterotropoides root on human intestinal bacteria,BMC Complementary and Alternative Medicine,13,1,245,2013,BioMed Central London
"이미나; 박천일; 문지영; ",트위터와 신문의 이슈 속성 비교 연구: MBC 파업을 중심으로,Journal of Internet Computing and Services,15,4,43-55,2014,
"Perumalsamy, Haribalan; Kim, Jun-Ran; Ahn, Young-Joon; ",Acaricidal Activity of Juniperus oxycedrus Essential Oil Constituents and Efficacy of Spray Formulations Toward Adult Dermatophagoides farina,한국응용곤충학회 학술대회논문집,,,79-79,2014,
"Perumalsamy, Haribalan; Chang, Kyu Sik; Park, Chan; Ahn, Young-Joon; ",Larvicidal activity of Asarum heterotropoides root constituents against insecticide-susceptible and-resistant Culex pipiens pallens and Aedes aegypti and Ochlerotatus togoi,Journal of agricultural and food chemistry,58,18,10001-10006,2010,American Chemical Society
"Kim, Jun-Ran; Perumalsamy, Haribalan; Kwon, Min Jung; Kwon, Hyung Wook; Ahn, Young-Joon; ",Contact and Fumigant Toxicity of Hiba Oil Constituents and Efficacy of Spray Formulations Containing the Oil to American House Dust Mite and Copra Mite,한국응용곤충학회 학술대회논문집,,,103-103,2013,
"Hong, Tae-kyun; Perumalsamy, Haribalan; Jang, Kyoung-hwa; Na, Eun-shik; Ahn, Young-Joon; ",Ovicidal and larvicidal activity and possible mode of action of phenylpropanoids and ketone identified in Syzygium aromaticum bud against Bradysia procera,Pesticide biochemistry and physiology,145,,29-38,2018,Elsevier
"Won Jung, Je; Baeck, Seung-Jae; Perumalsamy, Haribalan; Hansson, Bill S; Ahn, Young-Joon; Kwon, Hyung Wook; ",A novel olfactory pathway is essential for fast and efficient blood-feeding in mosquitoes,Scientific Reports,5,1,13444,2015,Nature Publishing Group UK London
"Perumalsamy, Haribalan; Kim, Jae Yeon; Kim, Jun-Ran; Hwang, Kum Na Ra; Ahn, Young-Joon; ",Toxicity of basil oil constituents and related compounds and the efficacy of spray formulations to Dermatophagoides farinae (Acari: Pyroglyphidae),Journal of Medical Entomology,51,3,650-657,2014,"Oxford University Press Oxford, UK"
"Perumalsamy, Haribalan; Jang, Myung Jin; Kim, Jun-Ran; Kadarkarai, Murugan; Ahn, Young-Joon; ",Larvicidal activity and possible mode of action of four flavonoids and two fatty acids identified in Millettia pinnata seed toward three mosquito species,Parasites & vectors,8,1,237,2015,BioMed Central London
"Yoo, Ji Young; Kim, Soon Il; Perumalsamy, Haribalan; Jang, Myung Jin; Song, Ha Eun; Ahn, Young-Joon; ",Anti-proliferative Activity of Vomifoliol and Stigmasterol Identified in Silkworm Feces on Human Lung Cancer Cell Lines,한국응용곤충학회 학술대회논문집,,,31-31,2014,
"Kim, Jun-Ran; Perumalsamy, Haribalan; Shin, He Min; Lee, Sang-Guei; Ahn, Young-Joon; ",Toxicity of Juniperus oxycedrus oil constituents and related compounds and the efficacy of oil spray formulations to Dermatophagoides farinae (Acari: Pyroglyphidae),Experimental and Applied Acarology,73,3,385-399,2017,Springer International Publishing Cham
"Chae, Song-Hwa; Kim, Soon-Il; Yeon, Seong Hum; Perumalsamy, Haribalan; Ahn, Young-Joon; ",Fumigant toxicity of summer savory and lemon balm oil constituents and efficacy of spray formulations containing the oils to B-and neonicotinoid-resistant Q-biotypes of Bemisia tabaci (Homoptera: Aleyrodidae),Journal of Economic Entomology,107,1,286-292,2014,"Oxford University Press Oxford, UK"
"Perumalsamy, Haribalan; Sankarapandian, Karuppasamy; Kandaswamy, Narendran; Balusamy, Sri Renukadevi; Periyathambi, Dhaiveegan; Raveendiran, Nanthini; ",Cellular effect of styrene substituted biscoumarin caused cellular apoptosis and cell cycle arrest in human breast cancer cells,The International Journal of Biochemistry & Cell Biology,92,,104-114,2017,Pergamon
"Wang, Xue; Sankarapandian, Karuppasamy; Cheng, Yizhe; Woo, Soon Ok; Kwon, Hyung Wook; Perumalsamy, Haribalan; Ahn, Young-Joon; ",Relationship between total phenolic contents and biological properties of propolis from 20 different regions in South Korea,BMC complementary and alternative medicine,16,1,65,2016,BioMed Central London
"Perumalsamy, Haribalan; Kim, Nam-Jin; Ahn, Young-Joon; ","Larvicidal activity of compounds isolated from Asarum heterotropoides against Culex pipiens pallens, Aedes aegypti, and Ochlerotatus togoi (Diptera: Culicidae)",Journal of Medical Entomology,46,6,1420-1423,2009,"Oxford University Press Oxford, UK"
"Wang, Xue; Perumalsamy, Haribalan; Cheng, Yizhe; Li, Xiaohan; Ahn, Young Joon; ",Biological Properties of Bee Pollen from Different Regions of South Korea,한국응용곤충학회 학술대회논문집,,,57-57,2016,
"Perumalsamy, Haribalan; Sankarapandian, Karuppasamy; Veerappan, Karpagam; Natarajan, Sathishkumar; Kandaswamy, Narendran; Thangavelu, Lakshmi; Balusamy, Sri Renukadevi; ",In silico and in vitro analysis of coumarin derivative induced anticancer effects by undergoing intrinsic pathway mediated apoptosis in human stomach cancer,Phytomedicine,46,,119-130,2018,Urban & Fischer
"Perumalsamy, Haribalan; Son, Bong-Ki; Kim, Jun-Ran; Yeon, Seong-Hum; Ahn, Young-Joon; ",Larvicidal Activity of Plant Essential Oil and Their Constituents against Mushroom Fly Camptomyia corticalis,한국응용곤충학회 학술대회논문집,,,252-252,2011,
"Perumalsamy, Haribalan; Kim, Jun-Ran; Kadarkarai, Murugan; Ahn, Young-Joon; ",Isolation and Identification of Larvicidal Principles Identified in Pongamia pinnata Seed Toward Insecticide-susceptible Culex pipiens pallens and Aedes aegypti and Wild Aedes albopictus,한국응용곤충학회 학술대회논문집,,,166-166,2012,
"Yi, Jee Hwan; Perumalsamy, Haribalan; Sankarapandian, Karuppasamy; Choi, Byeoung-Ryeol; Ahn, Young-Joon; ",Fumigant toxicity of phenylpropanoids identified in Asarum sieboldii aerial parts to Lycoriella ingenua (Diptera: Sciaridae) and Coboldia fuscipes (Diptera: Scatopsidae),Journal of economic entomology,108,3,1208-1214,2015,Oxford University Press
"Perumalsamy, Haribalan; Kim, Jun-Ran; Oh, Sang Mi; Jung, Je Won; Ahn, Young-Joon; Kwon, Hyung Wook; ",Novel histopathological and molecular effects of natural compound pellitorine on larval midgut epithelium and anal gills of Aedes aegypti,Plos one,8,11,e80226,2013,Public Library of Science
"Cheng, Yizhe; Perumalsamy, Haribalan; Kim, Byung Joon; Ahn, Young-Joon; ",Antioxidant activity of constituents identified in adults of Tenebrio molitor,한국농약과학회 학술발표대회 논문집,,,508-508,2018,
"Liu, Ying; Hwang, Eunson; Ngo, Hien TT; Perumalsamy, Haribalan; Kim, Yeon Ju; Li, Lu; Yi, Tae-Hoo; ",Protective effects of Euphrasia officinalis extract against ultraviolet B-induced photoaging in normal human dermal fibroblasts,International Journal of Molecular Sciences,19,11,3327,2018,MDPI
"Kim, Yeon-Ju; Perumalsamy, Haribalan; Markus, Josua; Balusamy, Sri Renukadevi; Wang, Chao; Ho Kang, Seong; Lee, Seungah; Park, Sang Yong; Kim, Sung; Castro-Aceituno, Verónica; ",Development of Lactobacillus kimchicus DCY51T-mediated gold nanoparticles for delivery of ginsenoside compound K: in vitro photothermal effects and apoptosis detection in cancer cells,"Artificial cells, nanomedicine, and biotechnology",47,1,30-44,2019,Taylor & Francis
"Wang, Zhangqian; Perumalsamy, Haribalan; Wang, Xue; Ahn, Young-Joon; ",Toxicity and possible mechanisms of action of honokiol from Magnolia denudata seeds against four mosquito species,Scientific Reports,9,1,411,2019,Nature Publishing Group UK London
"Balusamy, Sri Renukadevi; Ramani, Sivasubramanian; Natarajan, Sathishkumar; Kim, Yeon Ju; Perumalsamy, Haribalan; ",Integrated transcriptome and in vitro analysis revealed anti-proliferative effect of citral in human stomach cancer through apoptosis,Scientific Reports,9,1,4883,2019,Nature Publishing Group UK London
"Perumalsamy, Haribalan; Kim, Jun-Ran; Hwang, Kym Na Ra; Ahn, Young-Joon; ",LARVICIDAL ACTIVITY OF COMPOUNDS IDENTIFIED IN PONGAMIA PINNATA SEED AGAINST AEDES AEGYPTI AND CULEX PIPIENS PALLENS,PHARMACEUTICAL BIOLOGY,50,5,588-589,2012,"INFORMA HEALTHCARE TELEPHONE HOUSE, 69-77 PAUL STREET, LONDON EC2A 4LQ, ENGLAND"
"Liu, Ying; Kim, Senghyun; Kim, Yeon Ju; Perumalsamy, Haribalan; Lee, Seungah; Hwang, Eunson; Yi, Tae-Hoo; ",Green synthesis of gold nanoparticles using Euphrasia officinalis leaf extract to inhibit lipopolysaccharide-induced inflammation through NF-κB and JAK/STAT pathways in RAW 264.7 macrophages,International journal of nanomedicine,,,2945-2959,2019,Taylor & Francis
"Balusamy, Sri Renukadevi; Perumalsamy, Haribalan; Ranjan, Anuj; Park, Sungkwon; Ramani, Sivasubramanian; ","A dietary vegetable, Moringa oleifera leaves (drumstick tree) induced fat cell apoptosis by inhibiting adipogenesis in 3T3-L1 adipocytes",Journal of functional foods,59,,251-260,2019,Elsevier
"Kim, Yeon Ju; Perumalsamy, Haribalan; Castro-Aceituno, Verónica; Kim, Donghyuk; Markus, Josua; Lee, Seungah; Kim, Sung; Liu, Ying; Yang, Deok Chun; ",Photoluminescent and self-assembled hyaluronic acid-zinc oxide-ginsenoside Rh2 nanoparticles and their potential caspase-9 apoptotic mechanism towards cancer cell lines,International journal of nanomedicine,,,8195-8208,2019,Taylor & Francis
"Balusamy, Sri Renukadevi; Veerappan, Karpagam; Ranjan, Anuj; Kim, Yeon-Ju; Chellappan, Dinesh Kumar; Dua, Kamal; Lee, Jihyun; Perumalsamy, Haribalan; ",Phyllanthus emblica fruit extract attenuates lipid metabolism in 3T3-L1 adipocytes via activating apoptosis mediated cell death,Phytomedicine,66,,153129,2020,Urban & Fischer
